Disco,Artista,Ano,Capa,Spotify,YouTubeMusic,Tipo
A Céu Aberto (Ao Vivo),Nenhum De Nós,2014,https://yt3.googleusercontent.com/6jVI0ZlpNKUgR79Bha8duBpKoNQPOTwmmeHajcO1Mwp8K-7z66dUAmj9uiLdgcy_nEkcOcx8ZsrL_w04=w544-h544-l90-rj,https://open.spotify.com/search/Nenhum%20De%20N%C3%B3s%20Ao%20Vivo%20No%20Theatro%20S%C3%A3o%20Pedro,https://music.youtube.com/playlist?list=OLAK5uy_k5MX12wch2DxdCnD1v3uWPNI-50U4Hokk,disco
Brotherhood,New Order,1986,https://yt3.googleusercontent.com/pmYmI0GET5TUtfhLgtvuLycFAGcxOQIRamRicIXkCqQ2H_KbW0hCUtXrAq2oMpFo2Jx08JmDIPs1jYCv=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Brotherhood,https://music.youtube.com/playlist?list=OLAK5uy_mwFHQQdydDKHKQZhESUSD8snxBEve-ghU,disco
Get Ready,New Order,2001,https://yt3.googleusercontent.com/dYQip7qHkl4pXXLsd_3atVdIztwDMvMRfuxptCxEpKOj-Kut60lhgQ2298MlMgfvgYzqkL4wBUwv9O0F=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Get%20Ready,https://music.youtube.com/playlist?list=OLAK5uy_l3J5Mu4MnSqlChQxq_vMs0hy7j8yI5eqo,disco
Lost Sirens,New Order,2013,https://yt3.googleusercontent.com/rAXojh-dOb9AfRJeP_vZ-3h918VQITd8PjFkyNSMF7NcOvg2Kin4aowuSH8kZ_Zim51-U0iQ5pdj3Jg=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Lost%20Sirens,https://music.youtube.com/playlist?list=OLAK5uy_m9CTp_cN2-DIHqQZcRHVKXZrxkSbUjh08,disco
Low-Life,New Order,1985,https://yt3.googleusercontent.com/cyV_v4GKrqmQsv7tBu4CoVbUW7kvTRHoDdHtOqz79H_-22kXEu8bRdarHF1ZZDa96tB1JXHR0b2KQ3cR=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Low-Life,https://music.youtube.com/playlist?list=OLAK5uy_lGHD6v1kcrPc3E4apihILajsIV6IDEgh8,disco
Movement,New Order,1981,https://yt3.googleusercontent.com/NgCGUAyMamB_kOWWv0tuB38HxhpdDvxVbeCx9m2nbmfKxAdxXtYbURKL_kjxbGahNdQTvjP5tyRkLxFZTQ=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Movement,https://music.youtube.com/playlist?list=OLAK5uy_mxQ6Hm4VT7PHnVZ1d_NR_YoIDDXi8cA50,disco
Power Corruption and Lies,New Order,1983,https://yt3.googleusercontent.com/FkCJJXKU6OqSUzCrSeH4YAKnauill7c0c1dmKhvad858RVrb82XILMr-SzSDceOdK592dxD3Qby1Om8=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Power%20Corruption%20and%20Lies,https://music.youtube.com/playlist?list=OLAK5uy_ntJ7hJbV4dxYHVuK1Vh5RO7AcwN33cWEU,disco
Republic,New Order,1993,https://yt3.googleusercontent.com/PV8mOFIxN2_yxPbpcYlGeokUVNV3g55NXstep_iU85iMVR7Fo9eiXIIYlAUBQklU4QqV3eWL6Mr_Vcak=w544-h544-s-l90-rj,https://open.spotify.com/search/New%20Order%20Republic,https://music.youtube.com/playlist?list=OLAK5uy_ligyviRql7G3_U_OKHOMudcebiUwX_z94,disco
Technique,New Order,1989,https://yt3.googleusercontent.com/Mg5zi0ZGlcjRGZ9FPtSyiO-mYAKkQzHgf3vVF6j3z-zMTYUGyJMo_75KRhvHWM1jJxJenzWs1nCPwtgp=w544-h544-l90-rj,https://open.spotify.com/search/New%20Order%20Technique,https://music.youtube.com/playlist?list=OLAK5uy_m_44Xey_4wuxMFL4OYboMuj18gy8A-9bA,disco
Waiting for the Sirens' Call,New Order,2005,https://yt3.googleusercontent.com/zJFG9GFrpOyG3mf6VgnkNVombyhVBRgtZW4M1e7w0jlGXuawZ8HddvkyBpmmfQTi3gyJLJ6oNeCVGB0=w544-h544-s-l90-rj,https://open.spotify.com/search/New%20Order%20Waiting%20for%20the%20Sirens'%20Call,https://music.youtube.com/playlist?list=OLAK5uy_nPmYKuqxh2p_2P8hZzvXR47WyT0ZGS3UA,disco
